Project Name,Category
Call for Code,"Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
CBT Tape,"Containers & Virtualization, Cross-Technology, Networking & Edge, System Administration, Web App Development"
Automated Compliance Tooling (ACT),"Containers & Virtualization, Open Source Compliance"
Charliecloud,"Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
CLAMP,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
Argo,"CI/CD & Site Reliability, Cloud, Containers & Virtualization, DevOps"
Centaurus Infrastructure Project,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, System Engineering, Web App Development"
CHIPS Alliance Fund,"Containers & Virtualization, Cross-Technology, Networking & Edge, Open Hardware, Web App Development"
Arras,"Containers & Virtualization, Cross-Technology"
Civil Infrastructure Platform (CIP),"Containers & Virtualization, Cross-Technology, IoT & Embedded, Linux Kernel, Networking & Edge, Open Source Compliance, Safety-Critical Systems, System Engineering, Web App Development"
Carvel,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
Anuket,"Cloud, Containers & Virtualization, Networking & Edge"
3MF Consortium,"Containers & Virtualization, IoT & Embedded, Open Hardware"
ESLint,Web App Development
Falco,"Cloud, Containers & Virtualization, Privacy & Security"
EasyCLA,Open Source Compliance
dstack,Cross-Technology
Dapr,"Cloud, Containers & Virtualization"
Coalition for Content Provenance and Authenticity Fund (C2PA),"AI / ML / Data Analytics, Web App Development"
covXtreme,Cross-Technology
Essedum,Networking & Edge
Data Movement as a Platform (DMaaP),"Cloud, Containers & Virtualization, Networking & Edge"
Data Plane Development Kit (DPDK),"Networking & Edge, System Engineering"
Code Aurora Forum (CAF),"IoT & Embedded, Linux Kernel"
Continuous Integration Working Group,"CI/CD & Site Reliability, DevOps"
Connected Data Specification - Customer Data Working Group (CDS WG3),Cross-Technology
Connected Data Specification - Power Systems Data Working Group (CDS WG2),Cross-Technology
Community Data License Agreement (CDLA),AI / ML / Data Analytics
Core Infrastructure Initiative (CII),"Open Source Compliance, Privacy & Security"
FastDataStacks (FDS),"Cloud, Containers & Virtualization, Networking & Edge"
DENT Fund,Networking & Edge
