Project Name,Category
SC Decarbonisation Hub,Cross-Technology
RareCamp Project,Cross-Technology
The Linux Foundation,Linux Kernel
SODA Foundation,Storage
sel4 Project,Safety-Critical Systems
Software Defined Network Controller (SDNC),Networking & Edge
StarRocks,AI / ML / Data Analytics
Sylva Fund,Networking & Edge
Sound Open Firmware (SOF),Open Hardware
TarsJs,Cloud
RTC-Tools,Cross-Technology
RelEng/Autorelease,Networking & Edge
Ryoma,AI / ML / Data Analytics
Sidetree Development & Operating Group,Blockchain
Runme Notebooks,Cloud
runc,Cloud
TarsJMeter,Cloud
RelEng/Builder,Networking & Edge
SD-JWT Javascript Reference Implementation,Cross-Technology
Real Time Data Ingestion Platform (RTDIP),Cross-Technology
Shapeshifter,Cross-Technology
Screwdriver,DevOps
Template Studio,Blockchain
StorPerf,Networking & Edge
Zero Trust Working Group,Privacy & Security
TransportPCE,Networking & Edge
TLA+ Foundation,Cross-Technology
Trust Over IP Project (ToIP),Blockchain
Veraison,Privacy & Security
TRAC d.a.p.,AI / ML / Data Analytics
UniMatrix Project,Privacy & Security
WasmEdge Runtime,Cloud
vLLM,AI / ML / Data Analytics
TROLIE,Cross-Technology
Volcano,Cloud
TSeer,System Engineering
UniMatrix Governance Project,Privacy & Security
Yocto Project Fund,Linux Kernel
TSTerm,Cross-Technology
WarpX,Cross-Technology
Vitess,Storage
WebdriverIO,Web App Development
Tokenetes,Cloud
Waltz,System Engineering
TraderX,Cross-Technology
XAPI,Cloud
umoci,Cloud
Unified Acceleration Foundation,Cross-Technology
xRegistry,Cloud
Usecase UI (UUI),Networking & Edge
Tizen Project,Linux Kernel
Web3j,Blockchain
Zopen,Cross-Technology
Utility Rate Plan Exchange,IoT & Embedded
VSPerf,Networking & Edge
Uptane,Privacy & Security
Tinkerbell,Cloud
Tremor,Cloud
YANG Tools,Networking & Edge
urunc,Cloud
Wallet Framework for .NET,Blockchain
TODO Group,Open Source Compliance
Unikraft,Cloud
Vineyard,AI / ML / Data Analytics
TiKV,Cloud
Urban Computing Foundation (UCF),AI / ML / Data Analytics
Trilinos,Cross-Technology
http://vis.gl,AI / ML / Data Analytics
webhint,Web App Development
Unified Acceleration Foundation Fund,Cross-Technology
Universal Deep Packet Inspection Project (UDPI),Privacy & Security
XCP-ng,Cloud
Valkey,AI / ML / Data Analytics
Xen Project,Linux Kernel
wasmCloud,Cloud
VNF Validation Program (VVP),Networking & Edge
z/VM Community Tools,System Administration
werf,Cloud
US GOV OPS,Networking & Edge
zot,Cloud
Webpack,Web App Development
Zowe,Cross-Technology
Universal Scene Description Working Group,Web App Development
VNF Requirements,Networking & Edge
The Update Framework (TUF),Cloud
Zephyr Project,Safety-Critical Systems
Windows PV Drivers,Cloud
Unimgr,Networking & Edge
Zarf,Privacy & Security
Virtual Kubelet,Cloud
The Presto Foundation,AI / ML / Data Analytics
VNF SDK,Networking & Edge
Unity Catalog,AI / ML / Data Analytics
